movie_seq,review_seq,star_score,document,label
1,0,9,굿바이 다니엘 크레이그,1
1,1,1,처음 분은 정말  역대급 작품이 나오는 줄 알았다 근데 그게 끝이였다,0
1,2,2,제임스본드를 그런식으로 퇴장시켜야만 했을까별볼일없는 등장인물들에게 촬영분량을 주어 정작 주어야할 등장인물에게 분량이 덜 가서 너무나 아쉽고 몰입이 안됨이 감독은 과연 제임스본드 영화를 보긴 했을까 의문이 듦내가알,0
1,3,7,아니 감독양반 아무리 그래도 개간지  형님에게 도게자가 웬말이여,1
1,4,1,크레이그  중 최악의 작품 후쿠나가가 을 쓰레기로 만들었군요 이 작품은 시리즈에서 없는 작품으로 하고 싶을 정도입니다,0
1,5,9,난 아직도 악당들의 동기가 무엇인지 잘 모르겠다 가족들은 왜 납치했으며 왜 화학전을 벌이려고 하는 건지 ,1
1,6,7,일본애들은 꼭 남의 음식에 와사비를 뿌린단 말이에요,1
1,7,9,상영되고 노래나오기까지 여분 만 봐도 아깝지 않을 정도로 강렬한 액션이 압도합니다 킬링타임 강추 단 감독이 일본 피가 흐르다보니 쓸데없이 일본색을 넣어서 집중도가 흐려지네요 ㅠㅠ,1
1,8,8,크레이그의 본드를 마무리 한다는 점에서 의리로는 볼 만하지만 이전 과는 다른 다소 신파적인 요소가 많이 들어가서 영화 전체가 많이 늘어지는 느낌,1
1,9,2,누구 제임스 본드가 도게자하는거 보고 싶은 사람 감독이 영화에 일색을 묻힌건 정말 최악의 실수 철학이라곤 도 없는 빌런이 개똥논리로 입털어대는건 정말 지루했다 클라이막스 부근에 음악도 안깔아놓는 대화씬을 그,0
1,10,1,스카이 폴에서 멈춰야 했다 진짜 다다미방에 도게자 일본인 이름 감독 설마했다 ㅋㅋㅋ,0
1,11,5,라미말렉이 다다미에 무릎꿇고 앉아있고 그 앞에 다니엘 크레이그가 미안하다며 무릎꿇고 절하는 씬은 진짜 ㅋㅋ 다시한번 감독 이름이 떠올랐다 쓸데없는 일본 문화가 너무 많이 들어가있음 제임스본드는 자기 맡은 바 임무를 ,0
1,12,1,도게자 욱일기 감독아 국뽕영화찍냐,0
1,13,1,역대 최악의 엔딩 각본 미친게 분명,0
1,14,2,일본 감독이 다 망쳐놨음 ㅜㅜ,0
1,15,2,속상하다 크레이그 본드의 끝이 이래서캐붕의 끝을 달린 영화,0
1,16,2,그냥 스카이폴에서 끝났어야했다,0
1,17,3,주관적 평가입니다 초반 분정도는 다니엘 표 이었는데 나머지는 가족영화로 ㅠㅠ 예전 이 아니네요 그리고 런닝타임도 과연 시간 가까이 할 이야기인지 의문입니다 실망입니다,0
1,18,4,진지하게 개재미없음 러닝타임 너무 길고 억지 신파에 감독이 일본사람인지 도게자기억남는건 초반 흑발 여배우랑 총기씬,0
1,19,6,영상미 마지막 다니엘크레이그의 본드는 볼만했지만 일본욱여넣기는 눈살을 찌푸리고 미지근한 빌런은 화가난다,0
1,20,1,다니엘 크레이그가 도게자를 박네,0
1,21,6,진짜 의리로 점 준다 지루한 연출 억지 신파 어이없는 침투 헛웃음나오는 빌런 섬 노동자들은 완전 일본 스카이폴 카지노로얄에 비교하면 실례고 망작인 스펙터보다 영상미만 조금 나은 수준,0
1,22,6,뜬금없는 가족애 아버지의 사랑 영화보고 기억에 남은 건 오프닝곡과 팔로마 캐릭터밖에 없었지만 그래도 내겐 다니엘 크레이그의 제임스 본드가 최고였다 이 영화가 다니엘 크레이그의 마지막 시리즈라는 게 ,0
1,23,6,유럽식 신파 어린 시절 상처입은 악당의 세상을 향한 복수 반 냥 어치의 액션,0
1,24,6,초반은 좋았었는데 후반부에 가족의 복수를 하는것처럼 보였던 사핀의 개연성은 갑자기 사라져버리고 흔한 전쟁광 테러리스트로 추락함트루 디텍티브 때매 캐리 후쿠나가 감독 기대했는데 무뜬금 왜색은 그렇다치고 영화 후,0
1,25,2,초반 액션과 팔로마 액션씬 빼고는 너무 구려요 다니엘 크레이그 시리즈 마지막을 이딴식으로 만들어야했는지,0
1,26,6,오버하우서를 다니엘크레이그 시리즈 전체의 빌런들과 엮어서 빌런중의 빌런으로 만들어놓고 이런 결말을거기에 사핀은 대체 왜 그정도의 빌런이 된건지도 개연성이 부족하고 그냥 이라서 봤지 일반 첩보물이었으면 별,0
1,27,8,초반부는 정말로 역대급이다 아나 디 아르마스의 매력이 분 동안 빛난다 하지만 일본계 미국인인 감독이  두번 산다 오마주에 실패해서 분쟁지역인 쿠릴 열도에 왜색이 드러나는 아지트가 있는 납,1
1,28,8,쿠릴열도에 일본식 정원과 다다미와 도게자가 있어요 감독이 일본계라 그런가 봅니다,1
1,29,4,디즈니가 만들어도 패밀리 코드를 이런 식으로 버무리진 않았을거다 진짜 너무 하네 다니엘의 은 스카이 폴에서 끝냈어야 했거늘,0
1,30,2,다니엘 크레이그의 마지막 을 이따위로 장난하는 건가,0
1,31,4,솔직하게 처음 부분은 볼만하다가 지루해서 잤어영미안 크레이그 아저씨,0
1,32,6,다니엘크레이그의 마지막본드인거만으로 볼가치가잇는영화마지막영화라 힘빡주고 역대급영화를 기대하며ㅤㅂㅘㅅ지만 정작돌아온건 화날이유도없이 화난 메인빌런과 억지신파극 에잠긴 흑인여자그래도 카체이싱은 역대급으로 잘뽑음차라리,0
1,33,1,살인과 섹스를밥먹듯이하며 대영제국을위해 목숨을바치는 제임스본드라는 매력있는 캐릭터도 결국 들이 죽여버리는구나이 제임스본드죽었으면 끝난거지 설마 흑인여자가 걸캅스찍는걸 이라는간판만붙여서 이어갈생각은 하지,0
1,34,7,이런 식의 다니엘 퇴장은 너무 허무하네요 개연성 없는 왜색 또한 평점을 깎아버립니다 거기에 기존의 액션에 비해서도 액션이 다소 약하구요 초반 이탈리아에서의 액션만 볼만했어요 다만 다니엘 시리즈를 관통하던 스펙,1
1,35,6,결말이 아쉽다 예상은 했지만 너무 뻔해서 아쉬움이 크다 고군분투한 여정의 종착지를 행복한 삶의 보상으로 보여줬으면 바랬다,0
1,36,2,이렇게 만들거면 왜 만들었냐빌런은 개연성 따윈 개나줘버리고감동 없는 억지 신파에 눈물이 나더라휴,0
1,37,8,젓지말고 흔들어서,1
1,38,2,본드형은 훌륭한데떼잉,0
1,39,6,아니 뭔 일뽕이 묻어가지고 짜증나게결말도 그게 뭐냐고,0
1,40,6,너무도 눈에 익숙한 동양적인 액션합 가족이 끼어드는 신파 뜬금없이 옷을 갈아입어 제끼던 본드가 그리움,0
1,41,10,다니엘 크레이그 잘가요 내 최고의 ,1
1,42,6,인생의 목적은 생존이 아니라 삶이다,0
1,43,6,다니엘 크레이그의 마지막 본드에 집중하다보니개판된 악당의 무게감과 설득력,0
1,44,7,정장입고 뛰어다니는 본드는 언제봐도 최고 오프닝전 바이크씬 스카이폴의 기차 액션 생각날 정도로 시원하게 잘 나온듯 배경 도시들도 다양해서해외여행 기분 쪼금이라도 느낌 잔잔한 왜색있고 본드와 마들렌 케미가 개인적,1
1,45,2,이건 더 이상  영화가 아니다 언제부터 본드가 무릎을 꿇고 일본식 사과를 하며 정치적 성향을 띄우는 영화가 됐는가 일본이라서 문제 삼는 것이 아니다 본드는 영국 영화이며 정치색 없이 끝까지 악당과 싸우,0
1,46,8,제임스 본드로써 다니엘 크레이그의 년을 빛낸 초반의 시퀀스들 하지만 감독이 안식년을 생각한 것인지 점점 왜 굳이라는 질문을 던질 후반부의 힘 빠지는 시퀀스는 긴 러닝타임에 대한 의문점을 남겨주었다,1
1,47,8,보는내내 여행가고 싶어지는 영화,1
1,48,8,후반부는 버티기 힘들더라구여,1
1,49,2,역대급 노잼 시리즈 백인이 나오는 일본 영화,0
1,50,6,스카이폴에는 한참 못 미치지만 스펙터 보다는 많이 나아졌다역대 시리즈 돌아보면 항상 기억에 제일 남는건 오프닝씬과 절묘하게 어우러지는 음악인데 이번편도 오프닝씬은 너무 좋았다나는 이걸 느끼기 위해서라도 영화,0
2,0,9,아무도 날 사랑하지 않는다던 붉은여왕이 가엾고 사랑스러웠다,1
2,1,10,뭔대이리재밌어요이거,1
2,2,8,누가 거울나라의 앨리스를 거울닦이라 했는가 여전히 팀버튼의 자의식은 선명하고 새로운 창작진은 아주 영리하게도 세기의 이 영화에 아주 피씨한 페미니즘을 수혈했다 걸 파워와 워맨스의 승리 그리고 알란 릭먼을 추,1
2,3,10,환상을 즐길 수 있었어요 내 안에 있던 판타지를 보강시켜주는 느낌이고 교훈적이어서 너무 좋았어요,1
2,4,3,잘 모르겠다 뭔가 진부한 느낌 그리고 남 생명줄 아무렇지않게 훔쳐가서 지 할일하는 앨리스나 거짓말로 붉은 여왕을 그렇게 만든 하얀 여왕이나 붉은여왕이 제일 불쌍한 피해자처럼 보였음 나만 그렇게 생,0
2,5,10,꿈과 환상의 영화 너무나 재밌게 봤어용,1
2,6,4,앨리스가 하는 짓거리보면 암걸릴 것 같았어요 언년이처럼 민폐 쩔었어요,0
2,7,8,시간에 대해 깊은 생각을 하게 되는것 같다,1
2,8,10,색체와 상상력이 볼만하다 세는 높게 잡은것 같다,1
2,9,9,재밌었어요 ㅋ색채가 아주이뻐요 ㅋ,1
2,10,10,저는 진짜 재밌게봤어요 시간이란주제를 좋아해서 인생영화라고생각됩니다 사람마다 다다르겠지만 제개인적으론 너무좋았습니다,1
2,11,9,재미있게 잘 봤습니다,1
2,12,8,화려한 영상이 압도적이네요딸아이가 재밌었다고 엄지척,1
2,13,9,편에 이어지는 전개와 시간이 주는 교훈을 겸허히 받아들여야겠다는 메세지가 와닿네요,1
